name;in_stock;in_menu;base_price;compulsory_options;optional_options;image_url
Plain Noodles/Kuay Teow Soup;TRUE;TRUE;1.5;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Plain Noodles/Kuay Teow Dry;TRUE;TRUE;1.5;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Boiled/Roasted Chicken;TRUE;TRUE;3;"{{""name"":""Type of Chicken"",""options"":{{""name"":""Boiled"",""cost"":0.0},{""name"":""Roasted"",""cost"":0.0}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Boiled/Roasted Drumlet;TRUE;TRUE;3.8;"{{""name"":""Type of Chicken"",""options"":{{""name"":""Boiled"",""cost"":0.0},{""name"":""Roasted"",""cost"":0.0}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Char Siew Wanton Soup;TRUE;TRUE;3.8;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://i1.wp.com/angsarap.net/wp-content/uploads/2012/10/wonton-and-char-siu-pork-noodle-soup.jpg
Char Siew Wanton Dry;TRUE;TRUE;4;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://3.bp.blogspot.com/-8wbV23ri8jQ/VzrE6PWimFI/AAAAAAADJwg/x1KJALoK03Qiv58j3BG1RgdLy0GUWBeOgCLcB/s1600/DSC_0091jk.JPG
Boiled/Roasted Chicken Soup;TRUE;TRUE;4;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://omnivorescookbook.com/wp-content/uploads/2016/03/1603_Cantonese-Wonton-Noodle-Soup_004.jpg
Boiled/Roasted Chicken Dry;TRUE;TRUE;4;"{{""name"":""Choice of Noodles"",  ""options"":{{""name"":""Noodle"",""cost"":0.0},""name"":""Kuay Teow"",""cost"":0.0}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";http://lh4.ggpht.com/7hw2ajsBycXskMFf0Q9zjpO-z6bfFxQfiKtTTBR2FNllj8SonE2Q2wo98wMdtDFPyYdAColN3wrRVBz__CD8-qff=s800
Roasted Duck Soup/Dry;TRUE;TRUE;4.5;"{{""name"":""Options"",""options"":{{""name"":""Soup"",""cost"":0.0},{""name"":""Dry"",""cost"":0.0}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Roasted Pork Soup/Dry;TRUE;TRUE;4;"{{""name"":""Options"",""options"":{{""name"":""Soup"",""cost"":0.0},{""name"":""Dry"",""cost"":0.0}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Char Siew;TRUE;TRUE;3;"{{""name"":""Size"", ""options"":{{""name"":""Small"",""cost"":0.0},{""name"":""Medium"",""cost"":0.5}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Roast Pork;TRUE;TRUE;3;"{{""name"":""Size"", ""options"":{{""name"":""Small"",""cost"":0.0},{""name"":""Medium"",""cost"":0.5}}}}";"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Boiled Chicken Rice;TRUE;TRUE;3.5;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://mtc1-dydfxmh.netdna-ssl.com/wp-content/uploads/2016/08/22168498135_84560366eb_k-1300x866.jpg
Roasted Chicken Rice;TRUE;TRUE;3.5;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNsiwCrGaI3Awng2PICuZnqTYR3nMG8QcCPI5KTy-kLp3pceQz1w
Char Siew Rice;TRUE;TRUE;3.5;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://farm5.staticflickr.com/4704/38967855565_39737316a5_h.jpg
Roasted Pork Rice;TRUE;TRUE;3.5;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";https://kopitiam.gofoodpng.biz/wp-content/uploads/2017/08/Roast-Pork-Rice.jpg
Roasted Duck Rice;TRUE;TRUE;4;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Assorted Mushroom Spinach Noodle Dry;TRUE;TRUE;4;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Macaroni Soup with Shredded Chicken;TRUE;TRUE;3.8;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Wanton Soup;TRUE;TRUE;3;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
Deep Fried Wanton;TRUE;TRUE;3;{};"{{""name"":""Add Ons"",""options"":{{""name"":""rice"",""cost"":0.5},{""name"":""chicken"",""cost"":0.5},{""name"":""egg"",""cost"":0.4}}}}";
